"year","name","full_name","primary_position","games_played","games_started","three_points_made","rebounds","assists_turnover_ratio","steals","blocks","true_shooting_att","true_shooting_pct","efficiency","points_off_turnovers","effective_fg_pct","height","weight","experience","All_Nba","All_Nba_team","age","Ratings_2k","total_fouls","Salary_pct","SalaryLabel"
2020,"Nets","DeAndre Jordan","C",57,43,0,7.49,1.09,0.3,1.14,5.08,73.6,14.7,0.89,76.3,83,265,12,0,0,32,76,2.11,9.50676012461059,"average"
2020,"Clippers","Marcus Morris Sr.","PF",57,29,246,4.11,1.02,0.6,0.26,10.93,61.4,12.72,1.46,59.2,80,218,8,0,0,31,78,2.18,13.6372741433022,"star"
2020,"Kings","De'Aaron Fox","PG",58,58,178,3.5,2.4,1.5,0.47,22.3,56.5,22.81,3.81,52.3,75,185,3,0,0,22,85,3.1,7.42131849001283,"average"
2020,"Clippers","Luke Kennard","SG",63,17,159,2.56,2.17,0.37,0.14,6.79,60.8,8.68,1.02,59.7,77,206,3,0,0,24,75,1.46,4.83216602528862,"average"
2020,"Clippers","Malik Fitts","PF",3,0,33,1,0,0,0,1,50,1.33,0,50,80,230,0,0,0,23,75,1,0.0563752977826645,"below average"
2020,"Clippers","Patrick Beverley","PG",37,34,151,3.22,2.24,0.78,0.76,6.48,58,9.73,0.84,55,73,180,8,0,0,32,76,2.98,12.2167243906909,"star"
2020,"Clippers","Reggie Jackson","PG",67,43,182,2.87,2.77,0.61,0.1,9.27,57.6,11.18,1.49,55.4,74,208,9,0,0,30,80,1.9,2.13633223382811,"below average"
2020,"Clippers","Patrick Patterson","PF",38,5,105,1.97,2.64,0.37,0.21,4.54,57.1,5.66,0.68,55.8,80,235,10,0,0,31,75,1.21,3.49530053142752,"below average"
2020,"Jazz","Bojan Bogdanovic","SF",72,72,250,3.9,1.06,0.63,0.06,14.47,58.8,14.06,2.32,53.6,79,226,6,0,0,31,77,1.69,16.3551401869159,"star"
2020,"Hawks","Solomon Hill","SF",71,16,96,3.01,1.79,0.7,0.15,4.48,49.8,5.96,0.62,47.3,78,226,7,0,0,29,70,1.7,1.99222833058457,"below average"
2020,"Clippers","Daniel Oturu","C",30,0,3,1.6,1.11,0.13,0.23,1.91,47.1,2.7,0.5,43.3,82,240,0,0,0,21,71,0.8,0.823080447132124,"below average"
2020,"Clippers","Serge Ibaka","PF",41,39,95,6.71,1.68,0.22,1.15,9.47,58.5,15.27,1.34,56.3,82,235,11,0,0,31,79,1.92,8.48268279274327,"average"
2020,"Clippers","Jay Scrubb","SG",4,1,50,3.5,0.14,1,0,9.55,45.8,6.25,0.5,41.7,77,220,0,0,0,20,67,1.25,0.411503573391974,"below average"
2020,"Kings","Richaun Holmes","PF",61,61,3,8.26,1.35,0.64,1.57,10.65,66.9,21.15,1.67,63.8,82,235,5,0,0,26,79,3.52,4.58617372182518,"average"
2020,"Kings","Marvin Bagley III","PF",43,42,86,7.4,0.73,0.49,0.49,12.77,55.4,15.16,1.67,54.2,83,235,2,0,0,21,78,2.38,8.21297416162727,"average"
2020,"Kings","Jahmi'us Ramsey","SG",13,0,38,0.77,2,0.31,0.08,3.09,49.8,2.69,0.77,46.1,75,190,0,0,0,19,70,0.62,0.916254352208173,"below average"
2020,"Kings","Harrison Barnes","SF",58,58,172,6.64,2.16,0.74,0.19,12.85,62.6,19.26,2.43,57.5,80,225,8,0,0,28,78,1.29,20.3554233095107,"superstar"
