"games_played","games_started","three_points_made","rebounds","assists_turnover_ratio","steals","blocks","true_shooting_att","true_shooting_pct","efficiency","points_off_turnovers","effective_fg_pct","height","weight","experience","age","Ratings_2k","total_fouls","Salary_pct","year","name","full_name","primary_position","All_Nba","All_Nba_team"
0.68,0.52,0,0.47,0.08,0.12,0.31,0.17,0.68,0.47,0.15,0.76,0.7,0.52,0.57,0.58,0.35,0.43,0.183104960851648,2020,"Nets","DeAndre Jordan","C","0","0"
0.68,0.35,0.46,0.26,0.08,0.24,0.07,0.37,0.57,0.42,0.24,0.59,0.55,0.29,0.38,0.54,0.41,0.45,0.262699661914954,2020,"Clippers","Marcus Morris Sr.","PF","0","0"
0.7,0.71,0.33,0.22,0.18,0.6,0.13,0.76,0.52,0.67,0.64,0.52,0.3,0.12,0.14,0.17,0.62,0.64,0.142918654077324,2020,"Kings","De'Aaron Fox","PG","0","0"
0.76,0.21,0.3,0.16,0.17,0.15,0.04,0.23,0.56,0.32,0.17,0.6,0.4,0.23,0.14,0.25,0.32,0.3,0.093025876688246,2020,"Clippers","Luke Kennard","SG","0","0"
0.02,0,0.06,0.06,0,0,0,0.03,0.46,0.13,0,0.5,0.55,0.35,0,0.21,0.32,0.2,0.000996740949551605,2020,"Clippers","Malik Fitts","PF","0","0"
0.44,0.41,0.28,0.2,0.17,0.31,0.21,0.22,0.54,0.34,0.14,0.55,0.2,0.1,0.38,0.58,0.35,0.61,0.23532577275903,2020,"Clippers","Patrick Beverley","PG","0","0"
0.8,0.52,0.34,0.18,0.21,0.25,0.03,0.32,0.53,0.38,0.25,0.55,0.25,0.24,0.43,0.5,0.47,0.39,0.0410773579865398,2020,"Clippers","Reggie Jackson","PG","0","0"
0.45,0.06,0.2,0.12,0.2,0.15,0.06,0.15,0.53,0.24,0.11,0.56,0.55,0.38,0.48,0.54,0.32,0.25,0.0672645770378383,2020,"Clippers","Patrick Patterson","PF","0","0"
0.87,0.88,0.47,0.24,0.08,0.25,0.02,0.49,0.55,0.45,0.39,0.54,0.5,0.33,0.29,0.54,0.38,0.35,0.3150727404937,2020,"Jazz","Bojan Bogdanovic","SF","0","0"
0.85,0.2,0.18,0.19,0.14,0.28,0.04,0.15,0.46,0.25,0.1,0.47,0.45,0.33,0.33,0.46,0.18,0.35,0.0383004863795627,2020,"Hawks","Solomon Hill","SF","0","0"
0.35,0,0.01,0.1,0.09,0.05,0.06,0.07,0.44,0.17,0.08,0.43,0.65,0.4,0,0.12,0.21,0.16,0.0157710927348287,2020,"Clippers","Daniel Oturu","C","0","0"
0.49,0.48,0.18,0.42,0.13,0.09,0.31,0.32,0.54,0.48,0.22,0.56,0.65,0.38,0.52,0.54,0.44,0.39,0.163371066056271,2020,"Clippers","Serge Ibaka","PF","0","0"
0.04,0.01,0.09,0.22,0.01,0.4,0,0.33,0.42,0.26,0.08,0.42,0.4,0.3,0,0.08,0.09,0.26,0.00784003667699339,2020,"Clippers","Jay Scrubb","SG","0","0"
0.73,0.74,0.01,0.52,0.1,0.26,0.43,0.36,0.62,0.63,0.28,0.64,0.65,0.38,0.24,0.33,0.44,0.72,0.0882856231097703,2020,"Kings","Richaun Holmes","PF","0","0"
