"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32"
"1","","bulls","second","","michael","jordan","","","regular","season","","","","finals","","","","scoring","titles","selected","","","defensive","first","team","","achieved","playing","every","game","seasons",""
"2","michael","jordan","good","individual","awards","worthy","hall","fame","entry","","defensive","player","year","steals","leader","scoring","champion","star","","slam","dunk","champion","","first","team","defensive","first","team","total","dominance","",""
"3","yessir","tomorrow","","","appreciate","khris","","east","trade","","pick","","nwora","grayson","donte","good","season","excluding","","bucks","repeat","","","","teams","","","","","","",""
"4","season","predictions","champions","","lakers","finals","","anthony","davis","league","","luka","doncic","dpoy","giannis","","roty","jalen","green","improved","lonzo","ball","wait","","","","","","","","",""
"5","even","holes","fill","game","giannis","","already","among","best","players","","","time","","probably","start","drafting","hall","fame","speech","without","ever","adding","","","","","","","","",""
"6","rocbelushi","","isiahthomas","","","look","","","ranked","year","junk","stats","","","","","","","","","","","","","","","","","","","",""
"7","","season","award","winner","predictions","probably","going","accurate","towards","","season","","steph","curry","giannis","","dpoy","giannis","gobert","draymond","","jordan","poole","fred","vanvleet","luka","","jalen","green","scottie","barnes",""
"8","iamkgodd","","champ","","season","hits","different","","lmao","","","","","","","","","","","","","","","","","","","","","","",""
"9","oktrap__","nbamemes","","played","","greatest","","teams","time","","finals","","","","","","","","","","","","","","","","","","","","",""
"10","bucks","carried","","","back","back","finals","","giannis","","ring","injury","riddled","","season","time","doesnt","count","eyes","","","","","","","","","","","","",""
"11","warriors","together","","best","","teams","time","bench","player","","finals","","crying","loud","","","","","","","","","","","","","","","","","",""
"12","demberii","","mdloading","","many","","experts","nets","winning","","worry","maybe","even","","finals","","","","","","","","","","","","","","","","",""
"13","nbamemes","giannis","","ring","injury","riddled","","season","time","curry","warriors","team","injured","finals","opponent","didnt","","finals","","lebron","wade","bosh","kyrie","","","","","","","","",""
"14","nbatrend","","","rookie","averaged","game","","straight","games","laker","season","fishing","season","wins","","history","back","mvps","total","","game","also","unofficial","quintiple","double","","changed","rules","","","",""
