"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19"
"boston","celtics","star","jayson","tatum","becoming","","comfortable","leader","year","year","story","","","","","","",""
"boston","celtics","star","forward","jayson","tatum","dove","","deeper","leadership","style","reporters","sunday","","","obmhunhoae","","",""
"watch","footage","larry","legend’s","first","ever","star","appearance","clip","","","","","","","","","",""
"didn’t","know","going","traded","claims","","celtics","star","guard","kemba","walker","","","","","","","",""
"boston","celtics","star","jayson","tatum","looking","","olympic","experience","push","toward","","player","league","","","","",""
"boston","celtics","star","jayson","tatum","looking","","olympic","experience","push","toward","","player","league","","","","",""
"team’s","elder","statesmen","rising","star","forwards","","","","","kcvjzzugps","","","","","","","",""
"watch","boston","celtics","icon","larry","bird’s","","ever","star","game","","","bbdwflczfg","","","","","",""
"watch","footage","larry","legend’s","first","ever","star","appearance","clip","","","","","","","","","",""
"icymi","great","episode","shares","experiences","","commitment","support","youth","","","","","cepdata","","","","",""
"icymi","great","episode","shares","experiences","","commitment","support","youth","","","","","cepdata","","","","",""
"ramon_rican","","thats","tearing","","acls","remember","draft","class","hyped","hyped","","since","parker","","hurt","wiggins","never","became"
"star","took","embiid","years","","","court","least","embiid","randle","developed","well","especially","embiid","","","","",""
"yungyinkv","went","ahead","pursued","","","everything","","ring","well","","","star","","money","rookie","contract","needs","extension"
"soon","wasn’t","secretively","","divorce","week","married","","","","","","","","","","","",""
"isiahthomas","missing","jerry","west","picture","shaq","pistol","pete","jerry","west","believe","","commitment","dealing","","weekend","pistol","pete","passed"
"away","already","shaq","attending","star","weekend","injury","believe","","","","","","","","","","",""
"","isiahthomas","made","team","think","stuff","going","","weekend","shaq","pistol","pete","also","pictured","pistol","passed","away","aparent","heart"
"attack","shaq","dealing","injuries","star","weekend","didn’t","attend","","","","","","","","","","",""
"doesn’t","seem","fair","","fans","","double","standards","unvaxxed","star","beal","plays","","york","irving","sidelined","","",""
"kyrie","irving","plays","pickup","football","amid","vaccine","holdout","drama","","","twmuvqjbet","","","kyrieirving","","super","star","great"
"personal","conviction","much","respect","kyrie","","","","","","","","","","","","","",""
"really","thing","choice","notice","noise","surrounding","","star","kyrie","irving","standing","choice","vaccinated","amount","social","","","pressure","huge"
"","acquiesce","punitive","","","","","","","","","","","","","","","",""
"dirk","nowitzki","","star","space","","alongside","mark","cuban","ruth","bader","ginsburg","","","","","","",""
"steph","curry","","star","space","","alongside","kanye","west","adam","silver","","","","","","","",""
"steph","curry","","star","space","","alongside","oscar","nominated","actor","jonah","hill","mark","cuban","","","","",""
"carmelo","anthony","","star","space","","alongside","mark","cuban","barack","obama","","","","","","","",""
"kyrie","irving","","star","space","","alongside","","wayne","gregg","popovich","","","","","","","",""
"luka","doncic","","star","space","","alongside","adam","sandler","gregg","popovich","","","","","","","",""
"dirk","nowitzki","","star","space","","alongside","oscar","nominated","actor","jonah","hill","mark","cuban","","","","",""
"trae","young","","star","space","","alongside","","","adam","sandler","","","","","","","",""
"trae","young","","star","space","","alongside","gregg","popovich","kanye","west","","","","","","","",""
"kristaps","porzingis","","star","space","","alongside","","wayne","barack","obama","","","","","","","",""
"kristaps","porzingis","","star","space","","alongside","barack","obama","adam","silver","","","","","","","",""
"dirk","nowitzki","","star","space","","alongside","","wayne","adam","sandler","","","","","","","",""
"luka","doncic","","star","space","","alongside","mark","cuban","werner","herzog","","","","","","","",""
"kevin","durant","","star","space","","alongside","mark","cuban","ruth","bader","ginsburg","","","","","","",""
"luka","doncic","","star","space","","alongside","oscar","nominated","actor","jonah","hill","adam","silver","","","","",""
"trae","young","","star","space","","alongside","ruth","bader","ginsburg","oscar","nominated","actor","jonah","hill","","","",""
"carmelo","anthony","","star","space","","alongside","mark","cuban","mark","cuban","","","","","","","",""
"kristaps","porzingis","","star","space","","alongside","","wayne","barack","obama","","","","","","","",""
"kristaps","porzingis","","star","space","","alongside","","wayne","gregg","popovich","","","","","","","",""
"klay","thompson","","star","space","","alongside","gregg","popovich","kanye","west","","","","","","","",""
"kristaps","porzingis","","star","space","","alongside","","","adam","silver","","","","","","","",""
"trae","young","","star","space","","alongside","kanye","west","kanye","west","","","","","","","",""
"dion","waiters","","star","space","","alongside","","","werner","herzog","","","","","","","",""
"dion","waiters","","star","space","","alongside","","","adam","silver","","","","","","","",""
"joel","embiid","","star","space","","alongside","","wayne","","wayne","","","","","","","",""
"lebron","james","","star","space","","alongside","","","werner","herzog","","","","","","","",""
"lonzo","ball","","star","space","","alongside","","wayne","oscar","nominated","actor","jonah","hill","","","","",""
"kristaps","porzingis","","star","space","","alongside","kanye","west","adam","silver","","","","","","","",""
