year,team_id,market,name,id,full_name,first_name,last_name,position,primary_position,sr_id,games_played,games_started,minutes,field_goals_made,field_goals_att,field_goals_pct,two_points_made,two_points_att,two_points_pct,three_points_made,three_points_att,three_points_pct,blocked_att,free_throws_made,free_throws_att,free_throws_pct,offensive_rebounds,defensive_rebounds,rebounds,assists,turnovers,assists_turnover_ratio,steals,blocks,personal_fouls,tech_fouls,points,flagrant_fouls,ejections,foulouts,true_shooting_att,true_shooting_pct,efficiency,points_off_turnovers,points_in_paint,points_in_paint_made,points_in_paint_att,points_in_paint_pct,effective_fg_pct,double_doubles,triple_doubles,fouls_drawn,offensive_fouls,fast_break_pts,fast_break_att,fast_break_made,fast_break_pct,coach_ejections,second_chance_pct,second_chance_pts,second_chance_att,second_chance_made,minus,plus,coach_tech_fouls,off_rebounds,def_rebounds,name_suffix,combined,2K_ratings,Salary,height,weight,experience,birthdate,rookie_year,SalaryCap,All_Nba,All_Nba_team,team_changes,age
2020,583ec9d6-fb46-11e1-82cb-f4ce4684ea4c,Brooklyn,Nets,0036a1fa-ff9a-44a5-8061-68b828ee2b1e,DeAndre Jordan,DeAndre,Jordan,C,C,sr:player:607508,57,43,21.9,3.33,4.37,0.763,3.33,4.35,0.7659999999999999,0.0,0.02,0.0,0.11,0.81,1.61,0.5,117,310,7.49,1.6,1.49,1.09,0.3,1.14,2.04,3,7.5,0.02,0.0,0.0,5.08,0.736,14.7,0.89,6.67,3.33,4.3,0.7759999999999999,0.763,6,0,1.47,0.33,0.49,0.28,0.25,0.875,0.0,0.6509999999999999,1.63,1.11,0.72,3009.0,2967.0,0.0,2.05,5.44,,DeAndre Jordan2020,76.0,"$10,375,678",83.0,265.0,12.0,1988-07-21,2008.0,"$109,140,000",,,3,32.0
2020,583ecdfb-fb46-11e1-82cb-f4ce4684ea4c,LA,Clippers,4d7cb358-0fec-482f-9f57-92c39e8bf214,Marcus Morris Sr.,Marcus,Morris,F,PF,sr:player:607910,57,29,26.4,4.84,10.25,0.473,2.39,5.05,0.47200000000000003,2.46,5.19,0.473,0.19,1.28,1.56,0.82,35,199,4.11,1.0,1.0,1.02,0.6,0.26,2.05,6,13.4,0.02,1.0,0.0,10.93,0.614,12.72,1.46,2.28,1.14,2.44,0.46799999999999997,0.5920000000000001,0,0,1.37,0.16,0.75,0.49,0.26,0.536,0.0,0.475,1.21,1.04,0.49,3492.0,3626.0,0.0,0.61,3.49,Sr.,Marcus Morris Sr.2020,,,80.0,218.0,8.0,1989-09-02,,"$109,140,000",,,3,31.0
2020,583ed0ac-fb46-11e1-82cb-f4ce4684ea4c,Sacramento,Kings,cfc1e41b-74ab-45ee-8132-aaf9ca7f8163,De'Aaron Fox,De'Aaron,Fox,G,PG,sr:player:1121881,58,58,35.1,9.12,19.14,0.47700000000000004,7.34,13.62,0.539,1.78,5.52,0.322,1.1,5.17,7.19,0.7190000000000001,33,170,3.5,7.2,3.0,2.4,1.5,0.47,2.93,10,25.2,0.0,0.0,1.0,22.3,0.565,22.81,3.81,12.38,6.19,10.66,0.581,0.523,11,0,5.48,0.14,3.4,1.97,1.19,0.605,0.0,0.46,1.41,1.09,0.5,5100.0,4905.0,0.0,0.57,2.93,,De'Aaron Fox2020,85.0,"$8,099,627",75.0,185.0,3.0,1997-12-20,,"$109,140,000",,,0,22.0
2020,583ecdfb-fb46-11e1-82cb-f4ce4684ea4c,LA,Clippers,a537047d-c29f-4dfe-99b0-3bac4e258dc7,Luke Kennard,Luke,Kennard,G,SG,sr:player:1126375,63,17,19.6,3.13,6.57,0.47600000000000003,1.54,3.02,0.511,1.59,3.56,0.446,0.19,0.41,0.49,0.8390000000000001,15,146,2.56,1.7,0.76,2.17,0.37,0.14,1.44,1,8.3,0.0,0.0,1.0,6.79,0.608,8.68,1.02,1.9,0.95,1.65,0.5770000000000001,0.597,1,0,0.57,0.02,0.86,0.62,0.32,0.513,0.0,0.613,0.78,0.49,0.3,2915.0,2890.0,0.0,0.24,2.32,,Luke Kennard2020,75.0,"$5,273,826",77.0,206.0,3.0,1996-06-24,,"$109,140,000",,,1,24.0
2020,583ecdfb-fb46-11e1-82cb-f4ce4684ea4c,LA,Clippers,a389d2ef-29f9-4600-ba48-6cc6315b2b30,Malik Fitts,Malik,Fitts,F,PF,sr:player:2106626,3,0,3.7,0.33,1.0,0.33299999999999996,0.0,0.33,0.0,0.33,0.67,0.5,0.33,0.0,0.0,0.0,0,3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,0.0,0.0,0.0,1.0,0.5,1.33,0.0,0.0,0.0,0.33,0.0,0.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.33,0.33,25.0,19.0,0.0,0.0,1.0,,Malik Fitts2020,,"$61,528",80.0,230.0,0.0,1997-07-04,,"$109,140,000",,,0,23.0
2020,583ecdfb-fb46-11e1-82cb-f4ce4684ea4c,LA,Clippers,912e7aa3-dd03-4a98-9980-0442e108f287,Patrick Beverley,Patrick,Beverley,G,PG,sr:player:607472,37,34,22.5,2.51,5.95,0.423,1.0,2.14,0.46799999999999997,1.51,3.81,0.397,0.27,0.97,1.22,0.8,29,90,3.22,2.1,0.92,2.24,0.78,0.76,2.92,1,7.5,0.03,1.0,1.0,6.48,0.58,9.73,0.84,1.89,0.95,1.92,0.493,0.55,0,0,1.38,0.19,0.86,0.57,0.32,0.5710000000000001,0.0,0.524,0.89,0.57,0.3,1817.0,1965.0,0.0,0.78,2.43,,Patrick Beverley2020,76.0,"$13,333,333",73.0,180.0,8.0,1988-07-12,,"$109,140,000",,,1,32.0
2020,583ecdfb-fb46-11e1-82cb-f4ce4684ea4c,LA,Clippers,7b745dde-a011-45a8-98a8-460a9facb3ce,Reggie Jackson,Reggie,Jackson,G,PG,sr:player:607852,67,43,23.0,3.93,8.73,0.45,2.1,4.52,0.465,1.82,4.21,0.433,0.3,1.0,1.22,0.8170000000000001,24,168,2.87,3.1,1.1,2.77,0.61,0.1,1.9,0,10.7,0.0,0.0,0.0,9.27,0.5760000000000001,11.18,1.49,3.34,1.67,3.45,0.485,0.5539999999999999,0,0,1.24,0.06,1.27,0.93,0.49,0.532,0.0,0.359,0.55,0.58,0.21,3478.0,3723.0,0.0,0.36,2.51,,Reggie Jackson2020,80.0,"$2,331,593",74.0,208.0,9.0,1990-04-16,,"$109,140,000",,,2,30.0
2020,583ecdfb-fb46-11e1-82cb-f4ce4684ea4c,LA,Clippers,5a25d084-9ef7-4e81-8da8-737b5a9d6ed9,Patrick Patterson,Patrick,Patterson,F,PF,sr:player:607402,38,5,15.3,1.89,4.34,0.436,0.84,1.39,0.604,1.05,2.95,0.35700000000000004,0.16,0.34,0.45,0.765,19,56,1.97,0.8,0.29,2.64,0.37,0.21,1.18,1,5.2,0.0,0.0,0.0,4.54,0.5710000000000001,5.66,0.68,1.26,0.63,1.03,0.615,0.5579999999999999,0,0,0.45,0.08,0.42,0.37,0.18,0.5,0.0,0.636,0.92,0.58,0.37,1321.0,1344.0,0.0,0.5,1.47,,Patrick Patterson2020,,"$3,814,771",80.0,235.0,10.0,1989-03-14,,"$109,140,000",,,2,31.0
2020,583ece50-fb46-11e1-82cb-f4ce4684ea4c,Utah,Jazz,7ff02e19-e829-4e56-9a34-233a71fce76c,Bojan Bogdanovic,Bojan,Bogdanovic,F,SF,sr:player:608136,72,72,30.8,5.64,12.85,0.439,3.14,6.44,0.48700000000000004,2.5,6.4,0.39,0.85,3.24,3.68,0.879,40,241,3.9,1.9,1.78,1.06,0.63,0.06,1.6,6,17.0,0.01,0.0,1.0,14.47,0.588,14.06,2.32,5.75,2.88,5.69,0.505,0.536,0,0,2.6,0.18,2.29,1.6,0.86,0.539,0.0,0.436,1.68,1.4,0.61,4959.0,5378.0,0.0,0.56,3.35,,Bojan Bogdanovic2020,77.0,"$17,850,000",79.0,226.0,6.0,1989-04-18,,"$109,140,000",,,2,31.0
2020,583ecb8f-fb46-11e1-82cb-f4ce4684ea4c,Atlanta,Hawks,e68c7b19-7c0e-49a6-920c-48668f7ddbcf,Solomon Hill,Solomon,Hill,F,SF,sr:player:607680,71,16,21.3,1.51,4.2,0.359,0.55,1.21,0.45299999999999996,0.96,2.99,0.321,0.11,0.49,0.65,0.7609999999999999,42,172,3.01,1.1,0.59,1.79,0.7,0.15,1.63,4,4.5,0.01,0.0,0.0,4.48,0.498,5.96,0.62,0.99,0.49,1.04,0.473,0.473,0,0,0.51,0.08,0.32,0.3,0.11,0.381,0.0,0.325,0.52,0.56,0.18,3488.0,3515.0,0.0,0.59,2.42,,Solomon Hill2020,70.0,"$2,174,318",78.0,226.0,7.0,1991-03-18,,"$109,140,000",,,3,29.0
